# timestamp target input output err de se
29480 33.613525 0.340000 1.000000 33.273525 -0.010000 4.789155
29500 33.613525 0.720000 1.000000 32.893525 0.380000 4.792444
29510 33.613525 0.380000 1.000000 33.233525 -0.340000 4.795768
29520 33.613525 0.270000 1.000000 33.343525 -0.110000 4.799102
29530 33.613525 0.340000 1.000000 33.273525 0.070000 4.802430
29540 33.613525 0.340000 1.000000 33.273525 0.000000 4.805757
29550 33.613525 0.350000 1.000000 33.263525 0.010000 4.809083
29570 33.613525 0.680000 1.000000 32.933525 0.330000 4.812377
29580 33.613525 0.340000 1.000000 33.273525 -0.340000 4.815704
29590 33.613525 0.340000 1.000000 33.273525 0.000000 4.819031
29600 33.613525 0.360000 1.000000 33.253525 0.020000 4.822357
29610 33.613525 0.330000 1.000000 33.283525 -0.030000 4.825685
29620 33.613525 0.340000 1.000000 33.273525 0.010000 4.829012
29640 33.613525 0.680000 1.000000 32.933525 0.340000 4.832306
29650 33.613525 0.340000 1.000000 33.273525 -0.340000 4.835633
29660 33.613525 0.340000 1.000000 33.273525 0.000000 4.838960
29670 33.613525 0.340000 1.000000 33.273525 0.000000 4.842288
29680 33.613525 0.340000 1.000000 33.273525 0.000000 4.845615
29690 33.613525 0.340000 1.000000 33.273525 0.000000 4.848942
29710 33.613525 0.760000 1.000000 32.853525 0.420000 4.852228
29720 33.613525 0.270000 1.000000 33.343525 -0.490000 4.855562
29730 33.613525 0.350000 1.000000 33.263525 0.080000 4.858889
29740 33.613525 0.340000 1.000000 33.273525 -0.010000 4.862216
29750 33.613525 0.340000 1.000000 33.273525 0.000000 4.865543
29770 33.613525 0.690000 1.000000 32.923525 0.350000 4.868836
29780 33.613525 0.340000 1.000000 33.273525 -0.350000 4.872163
29790 33.613525 0.340000 1.000000 33.273525 0.000000 4.875490
29800 33.613525 0.360000 1.000000 33.253525 0.020000 4.878816
29810 33.613525 0.330000 1.000000 33.283525 -0.030000 4.882144
29820 33.613525 0.340000 1.000000 33.273525 0.010000 4.885471
29840 33.613525 0.680000 1.000000 32.933525 0.340000 4.888765
29850 33.613525 0.350000 1.000000 33.263525 -0.330000 4.892091
29860 33.613525 0.340000 1.000000 33.273525 -0.010000 4.895418
29870 33.613525 0.360000 1.000000 33.253525 0.020000 4.898744
29880 33.613525 0.330000 1.000000 33.283525 -0.030000 4.902072
29890 33.613525 0.340000 1.000000 33.273525 0.010000 4.905399
29910 33.613525 0.750000 1.000000 32.863525 0.410000 4.908686
29920 33.613525 0.280000 1.000000 33.333525 -0.470000 4.912019
29930 33.613525 0.340000 1.000000 33.273525 0.060000 4.915347
29940 33.613525 0.350000 1.000000 33.263525 0.010000 4.918673
29950 33.613525 0.340000 1.000000 33.273525 -0.010000 4.922000
29970 33.613525 0.690000 1.000000 32.923525 0.350000 4.925293
29980 33.613525 0.340000 1.000000 33.273525 -0.350000 4.928620
29990 33.613525 0.340000 1.000000 33.273525 0.000000 4.931947
30000 33.613525 0.360000 1.000000 33.253525 0.020000 4.935273
30010 33.613525 0.330000 1.000000 33.283525 -0.030000 4.938601
30020 33.613525 0.340000 1.000000 33.273525 0.010000 4.941928
30040 33.613525 0.680000 1.000000 32.933525 0.340000 4.945222
30050 33.613525 0.350000 1.000000 33.263525 -0.330000 4.948548
30060 33.613525 0.340000 1.000000 33.273525 -0.010000 4.951875
30070 33.613525 0.350000 1.000000 33.263525 0.010000 4.955202
30080 33.613525 0.350000 1.000000 33.263525 0.000000 4.958528
30090 33.613525 0.330000 1.000000 33.283525 -0.020000 4.961856
30110 33.613525 0.740000 1.000000 32.873525 0.410000 4.965144
30120 33.613525 0.290000 1.000000 33.323525 -0.450000 4.968476
30130 33.613525 0.340000 1.000000 33.273525 0.050000 4.971804
30140 33.613525 0.350000 1.000000 33.263525 0.010000 4.975130
30150 33.613525 0.340000 1.000000 33.273525 -0.010000 4.978457
30170 33.613525 0.680000 1.000000 32.933525 0.340000 4.981751
30180 33.613525 0.340000 1.000000 33.273525 -0.340000 4.985078
30190 33.613525 0.350000 1.000000 33.263525 0.010000 4.988404
30200 33.613525 0.360000 1.000000 33.253525 0.010000 4.991730
30210 33.613525 0.320000 1.000000 33.293525 -0.040000 4.995059
30220 33.613525 0.340000 1.000000 33.273525 0.020000 4.998386
30240 33.613525 0.680000 1.000000 32.933525 0.340000 5.001680
30250 33.613525 0.340000 1.000000 33.273525 -0.340000 5.005007
30260 33.613525 0.340000 1.000000 33.273525 0.000000 5.008334
30270 33.613525 0.340000 1.000000 33.273525 0.000000 5.011662
30280 33.613525 0.340000 1.000000 33.273525 0.000000 5.014989
30290 33.613525 0.350000 1.000000 33.263525 0.010000 5.018315
30310 33.613525 0.750000 1.000000 32.863525 0.400000 5.021602
30320 33.613525 0.270000 1.000000 33.343525 -0.480000 5.024936
30330 33.613525 0.350000 1.000000 33.263525 0.080000 5.028263
30340 33.613525 0.340000 1.000000 33.273525 -0.010000 5.031590
30350 33.613525 0.350000 1.000000 33.263525 0.010000 5.034916
30370 33.613525 0.680000 1.000000 32.933525 0.330000 5.038210
30380 33.613525 0.340000 1.000000 33.273525 -0.340000 5.041537
30390 33.613525 0.340000 1.000000 33.273525 0.000000 5.044864
30400 33.613525 0.360000 1.000000 33.253525 0.020000 5.048190
30410 33.613525 0.330000 1.000000 33.283525 -0.030000 5.051518
30420 33.613525 0.340000 1.000000 33.273525 0.010000 5.054845
30440 33.613525 0.690000 1.000000 32.923525 0.350000 5.058138
30450 33.613525 0.340000 1.000000 33.273525 -0.350000 5.061465
30460 33.613525 0.340000 1.000000 33.273525 0.000000 5.064792
30470 33.613525 0.350000 1.000000 33.263525 0.010000 5.068119
30480 33.613525 0.360000 1.000000 33.253525 0.010000 5.071444
30490 33.613525 0.330000 1.000000 33.283525 -0.030000 5.074772
30510 33.613525 0.750000 1.000000 32.863525 0.420000 5.078059
30520 33.613525 0.270000 1.000000 33.343525 -0.480000 5.081393
30530 33.613525 0.340000 1.000000 33.273525 0.070000 5.084721
30540 33.613525 0.350000 1.000000 33.263525 0.010000 5.088047
30550 33.613525 0.340000 1.000000 33.273525 -0.010000 5.091374
30570 33.613525 0.770000 1.000000 32.843525 0.430000 5.094659
30580 33.613525 0.260000 1.000000 33.353525 -0.510000 5.097994
30590 33.613525 0.350000 1.000000 33.263525 0.090000 5.101320
30600 33.613525 0.350000 1.000000 33.263525 0.000000 5.104647
30620 33.613525 0.670000 1.000000 32.943525 0.320000 5.107941
30630 33.613525 0.340000 1.000000 33.273525 -0.330000 5.111268
30640 33.613525 0.350000 1.000000 33.263525 0.010000 5.114595
30650 33.613525 0.330000 1.000000 33.283525 -0.020000 5.117923
30660 33.613525 0.340000 1.000000 33.273525 0.010000 5.121250
30670 33.613525 0.350000 1.000000 33.263525 0.010000 5.124577
30690 33.613525 0.680000 1.000000 32.933525 0.330000 5.127870
30700 33.613525 0.370000 1.000000 33.243525 -0.310000 5.131194
30710 33.613525 0.370000 1.000000 33.243525 0.000000 5.134519
30720 33.613525 0.280000 1.000000 33.333525 -0.090000 5.137852
30730 33.613525 0.340000 1.000000 33.273525 0.060000 5.141179
30740 33.613525 0.340000 1.000000 33.273525 0.000000 5.144507
30760 33.613525 0.690000 1.000000 32.923525 0.350000 5.147799
30770 33.613525 0.340000 1.000000 33.273525 -0.350000 5.151127
30780 33.613525 0.340000 1.000000 33.273525 0.000000 5.154454
30790 33.613525 0.340000 1.000000 33.273525 0.000000 5.157781
30800 33.613525 0.360000 1.000000 33.253525 0.020000 5.161107
30810 33.613525 0.330000 1.000000 33.283525 -0.030000 5.164435
30830 33.613525 0.680000 1.000000 32.933525 0.350000 5.167728
30840 33.613525 0.350000 1.000000 33.263525 -0.330000 5.171055
30850 33.613525 0.340000 1.000000 33.273525 -0.010000 5.174382
30860 33.613525 0.340000 1.000000 33.273525 0.000000 5.177709
30870 33.613525 0.340000 1.000000 33.273525 0.000000 5.181037
30880 33.613525 0.340000 1.000000 33.273525 0.000000 5.184364
30900 33.613525 0.710000 1.000000 32.903525 0.370000 5.187654
30910 33.613525 0.380000 1.000000 33.233525 -0.330000 5.190978
30920 33.613525 0.270000 1.000000 33.343525 -0.110000 5.194312
30930 33.613525 0.350000 1.000000 33.263525 0.080000 5.197638
30940 33.613525 0.340000 1.000000 33.273525 -0.010000 5.200966
30950 33.613525 0.340000 1.000000 33.273525 0.000000 5.204293
30970 33.613525 0.690000 1.000000 32.923525 0.350000 5.207586
30980 33.613525 0.340000 1.000000 33.273525 -0.350000 5.210913
30990 33.613525 0.340000 1.000000 33.273525 0.000000 5.214240
31000 33.613525 0.360000 1.000000 33.253525 0.020000 5.217566
31010 33.613525 0.330000 1.000000 33.283525 -0.030000 5.220894
31020 33.613525 0.340000 1.000000 33.273525 0.010000 5.224221
31040 33.613525 0.690000 1.000000 32.923525 0.350000 5.227514
31050 33.613525 0.340000 1.000000 33.273525 -0.350000 5.230841
31060 33.613525 0.340000 1.000000 33.273525 0.000000 5.234168
31070 33.613525 0.350000 1.000000 33.263525 0.010000 5.237495
31080 33.613525 0.350000 1.000000 33.263525 0.000000 5.240821
